 	$	ஂ	ஃ	அ	ஆ	இ	ஈ	உ	ஊ	எ	ஏ	ஐ	ஒ	ஓ	ஔ	க	ங	ச	ஜ	ஞ	ட	ண	த	ந	ன	ப	ம	ய	ர	ற	ல	ள	ழ	வ	ஶ	ஷ	ஸ	ஹ	ா	ி	ீ	ு	ூ	ெ	ே	ை	ொ	ோ	ௌ	்	௦	௧	௨	௩	௪	௫	௬	௭	௮	௯	௰	௱	௲	௳	௴	௵	௶	௷	௸	௹	௺
^	1	4	34230	917979	316139	554738	38527	374020	50931	321135	91301	27931	147963	60128	985	1717014	2029	1223729	134331	13177	158368	5504	1106338	744968	11321	1823928	1151279	95793	215211	15011	101438	6456	2914	1180854	1800	39769	112043	94061	1577	1374	286	573	122	5865	3709	2213	981	284	14	1300	288	933	734	362	337	264	365	507	241	380	7	3	11	7	5	3	2	1	1	3	3
ஂ	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஃ	1708	0	963	0	0	0	0	0	0	0	0	0	0	0	0	1966	38	525	147	40	377	34	1101	72	213	76685	520	185	662	338	331	93	23	847	1	57	241	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
அ	2524	0	1578	0	0	0	0	0	0	0	0	0	0	0	0	56515	17106	41125	5091	6637	86562	38006	104424	33653	80203	64476	97945	14390	109306	72827	57608	26816	44760	93282	15	3434	8362	2443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஆ	1369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40688	5063	26986	2966	1076	35998	26489	30887	2725	22570	14873	8752	26200	52135	15810	17730	13335	8134	12690	18	1377	6153	653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
இ	12732	0	481	0	0	0	0	0	0	0	0	0	0	0	0	19455	7558	24849	456	1267	51162	25266	53153	51676	53466	28000	15064	34443	123206	34334	49763	20282	19237	36485	2	1725	6522	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஈ	979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2152	206	2594	147	168	14719	298	836	365	1459	697	864	885	9381	690	288	73	3592	1040	13	329	2244	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
உ	1305	0	58	0	0	0	0	0	0	0	0	0	0	0	0	6255	6914	10892	631	253	54194	43007	42620	2336	8350	19903	8009	42045	55536	41302	23290	53467	7895	3470	4	1791	984	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஊ	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5954	70	1777	18	591	11079	447	5421	129	3165	196	1609	252	14978	4734	219	499	5874	238	1	61	59	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
எ	807	0	2252	0	0	0	0	0	0	0	0	0	0	0	0	12461	8744	7855	1052	1896	42301	18792	49218	8231	104147	12869	19344	3657	18180	6015	28521	6288	42820	7206	5	98	14931	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஏ	2456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7172	1487	2401	1918	809	2553	601	6511	1599	4073	2066	8126	1204	8258	42270	2731	609	6244	4274	1	129	304	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
